"","ObserveDate","WGS84Lon","WGS84Lat","engCounty","FamilyCommon","date"
"302","2013-11-15",121.344739,25.05878,"Taoyuan County","Typical Snakes","2013-11-15"
"303","2013-11-15",120.780966,21.948994,"Pingtung County","Cobras","2013-11-15"
"304","2013-11-15",120.330426,23.235729,"Tainan City","Rats","2013-11-15"
"305","2013-11-14",121.137167,23.131806,"Taitung County","Pit Vipers","2013-11-14"
"306","2013-11-14",121.182111,23.130917,"Taitung County","Typical Snakes","2013-11-14"
"307","2013-11-14",121.071306,23.151806,"Taitung County","Typical Owls","2013-11-14"
"308","2013-11-14",121.020806,23.21475,"Taitung County","Rats","2013-11-14"
"309","2013-11-14",120.342905,23.23478,"Tainan City","Coots","2013-11-14"
"310","2013-11-14",121.015083,23.223361,"Taitung County","Typical Snakes","2013-11-14"
"311","2013-11-14",121.025194,23.199389,"Taitung County","Typical Snakes","2013-11-14"
"312","2013-11-14",121.036333,23.171389,"Taitung County","Pit Vipers","2013-11-14"
"313","2013-11-14",121.137528,23.131667,"Taitung County","Typical Snakes","2013-11-14"
"314","2013-11-14",121.192333,23.130806,"Taitung County","Typical Snakes","2013-11-14"
"315","2013-11-14",121.154889,23.128139,"Taitung County","Typical Snakes","2013-11-14"
"316","2013-11-14",121.171583,23.127444,"Taitung County","Typical Snakes","2013-11-14"
"317","2013-11-14",121.018083,23.2175,"Taitung County","Amphisbaenians","2013-11-14"
"318","2013-11-13",120.300549,23.206586,"Tainan City","Doves","2013-11-13"
"319","2013-11-13",120.672304,23.605127,"Yunlin County","Mustelids","2013-11-13"
"320","2013-11-13",120.672304,23.605127,"Yunlin County","Mustelids","2013-11-13"
"321","2013-11-13",120.338328,23.247067,"Tainan City","Skinks","2013-11-13"
"322","2013-11-12",120.368283,23.230719,"Tainan City","Pit Vipers","2013-11-12"
"323","2013-11-12",120.337301,23.244977,"Tainan City","Bitterns","2013-11-12"
